budget,HI 0,HI 1,HI 2,HI 3,HI 4,HI 5,HI 6,HI 7,HI 8,HI 9,HI 10,HI 11,HI 12,HI 13,HI 14,HI 15,HI 16,HI 17,HI 18,HI 19,HI 20,HI 21,HI 22,HI 23,HI 24,HI 25,HI 26,HI 27,HI 28,HI 29,HI 30,HI 31,HI 32,HI 33,HI 34,HI 35,HI 36,HI 37,HI 38,HI 39,HI 40,HI 41,HI 42,HI 43,HI 44,HI 45,HI 46,HI 47,HI 48,HI 49,HI 50,HI 51,HI 52,HI 53,HI 54,HI 55,HI 56,HI 57,HI 58,HI 59,HI 60,HI 61,HI 62,HI 63,HI 64,HI 65,HI 66,HI 67,HI 68,HI 69,HI 70,HI 71,HI 72,HI 73,HI 74,HI 75,HI 76,HI 77,HI 78,HI 79,HI 80,HI 81,HI 82,HI 83,HI 84,HI 85,HI 86,HI 87,HI 88,HI 89,HI 90,HI 91,HI 92,HI 93,HI 94,HI 95,HI 96,HI 97,HI 98,HI 99,HI 100,HI 101,HI 102,HI 103,HI 104,HI 105,HI 106,HI 107,HI 108,HI 109,HI 110,HI 111,HI 112,HI 113,HI 114,HI 115,HI 116,HI 117,HI 118,HI 119,HI 120,HI 121,HI 122,HI 123,HI 124,HI 125,HI 126,HI 127,HI 128,HI 129,HI 130,HI 131,HI 132,HI 133

"Sexual health services - Promotion, prevention and advice (non-prescribed functions)","Emergency hospital admissions for hip fracture in persons 65 years and over, standardised admission ratio","School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Under 18s conception rate / 1,000",Multiple births,D09 - NHS organisations with a board approved sustainable development management plan,Drinking in early pregnancy,Smoking prevalence in adults with anxiety or depression (18+) - current smokers (GPPS),Population vaccination coverage: Dtap IPV  Hib (1 year old),Percentage of population whose ethnicity is not 'White UK',Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Assistive equipment and technology,People receiving an NHS Health Check per year,"Emergency hospital admissions for injuries in under 15 years old, crude rate",People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Percentage of adults (aged 18+) classified as obese,Estimated diabetes diagnosis rate,Positive satisfaction with life among 15 year olds: % reporting positive life satisfaction,Number in treatment at specialist alcohol misuse services,Place of death - home: People with dementia (aged 65 years and over),Long term claimants of Jobseeker's Allowance,"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Caesarean section %,Proportion of TB cases offered an HIV test,Potential years of life lost due to smoking related illness,Serious casualties from road traffic accidents (aged 0-24),"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",D09 - NHS organisations with a board approved sustainable development management plan,People aged 75+ registered blind or partially sighted,Children with Severe Learning Difficulties known to schools,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Under 75 mortality rate from liver disease,Hospital admission rate due to liver disease,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Fraction of mortality attributable to particulate air pollution (old method),Successful completion of drug treatment - opiate users,Persistent absentees - Secondary school,Free school meals: % uptake among all pupils,"Percentage of people aged 65 and over using social care who receive self-directed support, and those receiving direct payments",Disability-free life expectancy at birth,Oesophageal cancer registrations,Deprivation score (IMD 2015),Children in care,Emergency hospital admissions due to falls in people aged 65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Other children and family services,People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,HIV late diagnosis in people first diagnosed with HIV in the UK,Admissions of babies under 14 days,Proportion of TB cases offered an HIV test,Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,Homelessness - households owed a duty under the Homelessness Reduction Act,Completeness of NS-SEC recording by Stop Smoking Services,1.13ii - Re-offending levels - average number of re-offences per offender,"Migrant GP registrations: rate per 1,000 population",Children in care,"Genital herpes diagnosis rate per 100,000","Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mental health support - older people (65+),Percentage of deaths that occur at home,Potential years of life lost due to smoking related illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Homelessness,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Smoking attributable deaths from stroke (new method),People invited for an NHS Health Check,HIV late diagnosis in people first diagnosed with HIV in the UK,Estimated prevalence of common mental disorders: % of population aged 16 & over,Under 18s conceptions leading to abortion (%),Admissions of babies under 14 days,"Typhoid & paratyphoid incidence rate/100,000",Percentage of adults (aged 18+) classified as obese,Estimated diabetes diagnosis rate,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Admission episodes for alcohol-related conditions (Broad): Old Method,"Dementia: Crude Recorded Prevalence (aged under 65 years) per 10,000",Number in treatment at specialist alcohol misuse services,Newborn Blood Spot Screening: Coverage,Admission episodes for alcohol-related conditions (Narrow): Old Method,Percentage of deaths that occur at home,"Emergency hospital admissions in under 5 years old, crude rate",Smoking prevalence at age 15 - regular smokers (modelled estimates),Care home beds per 100 people 75+,Long term claimants of Jobseeker's Allowance,"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Under 75 mortality rate from cancer considered preventable (2016 definition),Housing affordability ratio,Caesarean section %,Post-neonatal mortality rate,PTSD in perinatal period: Estimated number of women,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),Drug misuse in early pregnancy,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Mortality rate from cancer, ages 65+ years",Emergency admissions for pedestrians (aged 0-24),Admissions for gastroenteritis in infants aged 1 year,"DiUPR - Cancer (%), Persons, All Ages.",Density of fast food outlets,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.","General fertility rate: live births per 1,000 women aged 15-44 years. five year pooled",Persistent absentees - Primary school,Under 75 mortality rate from breast cancer,Under 25s repeat abortions (%),Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Permanent admissions to residential and nursing care homes per 100,000 aged 65+","Measles incidence rate/100,000",People aged 75+ registered blind or partially sighted,Drinking in early pregnancy,Admissions for diabetes for young people aged 10 to 18,Percentage who have ever had an alcoholic drink at age 15,"Under 18s births rate / 1,000",First time offenders,Deprivation score (IMD 2019),Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - non-opiates,Children with Severe Learning Difficulties known to schools,CHD: QOF prevalence (all ages),"dmft (decayed, missing or filled teeth) in five year olds",Mortality rate from chronic obstructive pulmonary disease,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Under 75 mortality rate from liver disease,The percentage of people resident in the area living in each national deprivation quintile,Prevalence of severe knee osteoarthritis in people aged  45 and over,Index of Multiple Deprivation (IMD) Score,Prevalence of ADHD among young people: estimated number aged 16 - 24,Hospital admission rate due to liver disease,Emergency hospital admissions due to falls in people aged 80+,Overcrowded households,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,Births to mothers aged 40+: % of live births,Hospital admission rate for alcoholic liver disease,Excess winter deaths index (age 85+),1.13ii - Re-offending levels - average number of re-offences per offender,Lone parent families: % of households,"Migrant GP registrations: rate per 1,000 population",Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Successful completion of drug treatment - opiate users,Percentage of population whose ethnicity is not 'White UK',"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Persistent absentees - Secondary school,Child mortality rate (1-17 years),"HIV testing coverage, women",Air pollution: fine particulate matter (new method - concentrations of total PM2.5),Free school meals: % uptake among all pupils,Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),"Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate",Proportion of drug sensitive TB cases who had died at last reported outcome,Deprivation score (IMD 2015),Volume of pure alcohol sold through the off-trade: beer sales,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of NHS Health Checks offered to the total eligible population in the quarter,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),"Children in need due to abuse or neglect: rate per 10,000 children aged under 18 years",Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,Emergency hospital admissions due to falls in people aged 65 and over,Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Special schools and alternative provision,People invited for an NHS Health Check,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Long term claimants of Jobseeker's Allowance,Potential years of life lost due to smoking related illness,"Statutory homelessness: rate per 1,000 households",Population vaccination coverage: MMR for one dose (5 years old),Persistent absentees - Primary school,"Measles incidence rate/100,000",Homelessness - households owed a duty under the Homelessness Reduction Act,First time offenders,Deprivation score (IMD 2019),Children with Severe Learning Difficulties known to schools,Dementia: Direct standardised rate of emergency admissions (aged 65 years and over),Concurrent contact with mental health services and substance misuse services for drug misuse,Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Percentage of adults (aged 18+) classified as overweight or obese,Children in care,Emergency hospital admissions due to falls in people aged 65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Building control,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-related conditions (Narrow): Old Method,Housing affordability ratio,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","DiUPR - Cancer (%), Persons, All Ages.",D09 - NHS organisations with a board approved sustainable development management plan,Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,Drinking in early pregnancy,CHD: QOF prevalence (all ages),Satisfaction with social care support: % service users extremely satisfied or very satisfied with their care and support,Overcrowded households,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Population vaccination coverage - Hib / Men C booster (5 years old),Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - alcohol & non-opiates,Year 6: Prevalence of obesity (including severe obesity),Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

