code,name,final_date,group_code,group_name,period
212,Stroke: QOF prevalence (all ages),31-12-2014,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2016,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2015,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2016,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2022,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2020,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2019,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2013,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2014,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2022,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2020,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2020,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2016,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2019,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2021,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2017,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2018,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2021,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2015,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2018,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2019,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2019,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2021,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2018,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2017,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2017,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2014,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2016,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2014,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2020,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2022,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2016,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2017,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2019,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2020,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2015,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2017,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2015,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2014,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2013,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2017,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2014,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2020,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2022,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2020,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2016,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2018,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2014,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2019,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2021,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2019,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2016,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2022,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2017,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2016,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2013,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2015,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2015,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2018,65,nhs-health-check,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2021,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2018,146,healthy-ageing,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2018,84,dementia,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2021,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2019,99,physical-activity,1Y
219,Hypertension: QOF prevalence (all ages),31-12-2021,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2013,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2019,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2014,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2016,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2011,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2021,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2019,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2010,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2021,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2013,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2017,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2022,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2020,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2020,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2021,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2018,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2013,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2019,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2010,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2015,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2018,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2016,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2020,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2014,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2015,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2011,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2012,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2017,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2018,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2015,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2012,146,healthy-ageing,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2014,65,nhs-health-check,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2022,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2016,84,dementia,1Y
241,Diabetes: QOF prevalence (17+ yrs),31-12-2017,65,nhs-health-check,1Y
247,Dementia: QOF prevalence (all ages),31-12-2018,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2017,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2020,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2014,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2020,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2012,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2019,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2016,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2018,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2021,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2018,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2012,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2019,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2021,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2017,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2014,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2019,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2012,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2015,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2020,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2021,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2013,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2016,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2015,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2015,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2014,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2013,95,end-of-life,1Y
247,Dementia: QOF prevalence (all ages),31-12-2016,106,crisis-care,1Y
247,Dementia: QOF prevalence (all ages),31-12-2017,84,dementia,1Y
247,Dementia: QOF prevalence (all ages),31-12-2013,106,crisis-care,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2019,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2017,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2015,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2013,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2021,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2018,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2020,65,nhs-health-check,1Y
258,CKD: QOF prevalence (18+ yrs),31-12-2016,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2016,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2022,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2021,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2017,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2014,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2021,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2022,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2010,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2014,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2016,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2015,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2020,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2020,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2013,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2022,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2015,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2018,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2021,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2016,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2020,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2015,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2014,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2019,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2015,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2020,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2018,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2012,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2012,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2017,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2017,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2018,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2019,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2013,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2017,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2014,84,dementia,1Y
273,CHD: QOF prevalence (all ages),31-12-2019,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2018,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2011,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2013,65,nhs-health-check,1Y
273,CHD: QOF prevalence (all ages),31-12-2013,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2011,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2021,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2019,146,healthy-ageing,1Y
273,CHD: QOF prevalence (all ages),31-12-2010,99,physical-activity,1Y
273,CHD: QOF prevalence (all ages),31-12-2016,65,nhs-health-check,1Y
342,% reporting a long-term back problem,31-12-2012,76,msk,1Y
342,% reporting a long-term back problem,31-12-2014,76,msk,1Y
342,% reporting a long-term back problem,31-12-2015,76,msk,1Y
342,% reporting a long-term back problem,31-12-2013,76,msk,1Y
342,% reporting a long-term back problem,31-12-2016,76,msk,1Y
342,% reporting a long-term back problem,31-12-2017,76,msk,1Y
358,Long-term mental health problems (GP Patient Survey): % of respondents,31-12-2018,98,mentalhealth_jsna,1Y
358,Long-term mental health problems (GP Patient Survey): % of respondents,31-12-2018,106,crisis-care,1Y
358,Long-term mental health problems (GP Patient Survey): % of respondents,31-12-2019,106,crisis-care,1Y
384,% reporting arthritis or long-term joint problem,31-12-2016,76,msk,1Y
384,% reporting arthritis or long-term joint problem,31-12-2012,76,msk,1Y
384,% reporting arthritis or long-term joint problem,31-12-2017,76,msk,1Y
384,% reporting arthritis or long-term joint problem,31-12-2014,76,msk,1Y
384,% reporting arthritis or long-term joint problem,31-12-2015,76,msk,1Y
384,% reporting arthritis or long-term joint problem,31-12-2013,76,msk,1Y
811,Children in care immunisations,31-12-2014,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2017,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2020,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2015,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2013,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2018,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2016,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2021,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2019,105,child-health-profiles,1Y
811,Children in care immunisations,31-12-2012,105,child-health-profiles,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2012,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2011,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2013,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2022,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2011,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2011,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2010,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2012,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2013,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2012,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2013,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2013,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2012,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2010,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2022,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2022,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2010,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2022,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2019,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2017,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2016,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2012,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2011,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2015,91,suicide,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2010,102,perinatal-mental-health,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2010,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2021,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2011,98,mentalhealth_jsna,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,84,dementia,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2018,99,physical-activity,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2020,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2013,106,crisis-care,1Y
848,Depression: QOF prevalence (18+ yrs),31-12-2014,102,perinatal-mental-health,1Y
1179,People aged 65-74 registered blind or partially sighted,31-12-2014,146,healthy-ageing,1Y
1179,People aged 65-74 registered blind or partially sighted,31-12-2008,146,healthy-ageing,1Y
1179,People aged 65-74 registered blind or partially sighted,31-12-2020,146,healthy-ageing,1Y
1179,People aged 65-74 registered blind or partially sighted,31-12-2011,146,healthy-ageing,1Y
1179,People aged 65-74 registered blind or partially sighted,31-12-2017,146,healthy-ageing,1Y
1180,People aged 75+ registered blind or partially sighted,31-12-2014,146,healthy-ageing,1Y
1180,People aged 75+ registered blind or partially sighted,31-12-2008,146,healthy-ageing,1Y
1180,People aged 75+ registered blind or partially sighted,31-12-2017,146,healthy-ageing,1Y
