code,final_date,name,group_name,period
315,31-12-2020,Other children and family services,Children's social care,1Y
322,31-12-2020,Family support services,Children's social care,1Y
323,31-12-2020,Youth justice,Children's social care,1Y
325,31-12-2020,Safeguarding children and young people’s services,Children's social care,1Y
326,31-12-2020,Asylum seekers,Children's social care,1Y
327,31-12-2020,Services for young people,Children's social care,1Y
332,31-12-2020,Physical support - adults (18–64),Adult social care,1Y
333,31-12-2020,Physical support - older people (65+),Adult social care,1Y
334,31-12-2020,Sensory support - adults (18–64),Adult social care,1Y
335,31-12-2020,Sensory support - older people (65+),Adult social care,1Y
336,31-12-2020,Support with memory and cognition - adults (18–64),Adult social care,1Y
337,31-12-2020,Support with memory and cognition - older people (65+),Adult social care,1Y
340,31-12-2020,Learning disability support - adults (18–64),Adult social care,1Y
341,31-12-2020,Learning disability support - older people (65+),Adult social care,1Y
344,31-12-2020,Mental health support - adults (18–64),Adult social care,1Y
345,31-12-2020,Mental health support - older people (65+),Adult social care,1Y
348,31-12-2020,Social support: Substance misuse support,Adult social care,1Y
349,31-12-2020,Social support: Asylum seeker support,Adult social care,1Y
350,31-12-2020,Social support: Support for carer,Adult social care,1Y
351,31-12-2020,Social support: Social Isolation,Adult social care,1Y
353,31-12-2020,Assistive equipment and technology,Adult social care,1Y
354,31-12-2020,Social care activities,Adult social care,1Y
355,31-12-2020,Information and early intervention,Adult social care,1Y
356,31-12-2020,Commissioning and service delivery,Adult social care,1Y
361,31-12-2020,Sexual health services - STI testing and treatment (prescribed functions),Public health,1Y
362,31-12-2020,Sexual health services - Contraception (prescribed functions),Public health,1Y
363,31-12-2020,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",Public health,1Y
365,31-12-2020,NHS health check programme  (prescribed functions),Public health,1Y
366,31-12-2020,Health protection - Local authority role in health protection  (prescribed functions),Public health,1Y
368,31-12-2020,National child measurement programme (prescribed functions),Public health,1Y
370,31-12-2020,Public health advice to NHS commissioners (prescribed functions),Public health,1Y
371,31-12-2020,Obesity - adults,Public health,1Y
372,31-12-2020,Obesity - children,Public health,1Y
373,31-12-2020,Physical activity - adults,Public health,1Y
374,31-12-2020,Physical activity - children,Public health,1Y
376,31-12-2020,Substance misuse - Treatment for drug misuse in adults,Public health,1Y
377,31-12-2020,Substance misuse - Treatment for alcohol misuse in adults,Public health,1Y
378,31-12-2020,Substance misuse - Preventing and reducing harm from drug misuse in adults,Public health,1Y
379,31-12-2020,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,Public health,1Y
380,31-12-2020,Substance misuse - Specialist drug and alcohol misuse services for children and young people,Public health,1Y
381,31-12-2020,Smoking and tobacco - Stop smoking services and interventions,Public health,1Y
382,31-12-2020,Smoking and tobacco - Wider tobacco control,Public health,1Y
383,31-12-2020,Children 5–19 public health programmes,Public health,1Y
384,31-12-2020,Mandated 0-5 children’s services (prescribed functions),Public health,1Y
385,31-12-2020,All Other 0-5 children’s services (non-prescribed functions),Public health,1Y
386,31-12-2020,Health at work,Public health,1Y
387,31-12-2020,Public mental health,Public health,1Y
389,31-12-2020,Miscellaneous public health services - other,Public health,1Y
409,31-12-2020,"Housing strategy, advice, advances, enabling, renewals and licensing",Housing services (gfra only),1Y
440,31-12-2020,Homelessness,Housing services (gfra only),1Y
456,31-12-2020,Housing benefits: rent allowances and rent rebates - discretionary payments,Housing services (gfra only),1Y
457,31-12-2020,Housing benefits administration,Housing services (gfra only),1Y
460,31-12-2020,Other council property - travellers' sites and non-HRA council property,Housing services (gfra only),1Y
475,31-12-2020,Housing welfare: Supporting People,Housing services (gfra only),1Y
478,31-12-2020,Other welfare services,Housing services (gfra only),1Y
500,31-12-2020,Archives,Cultural and related services,1Y
501,31-12-2020,Culture and heritage (excluding Archives),Cultural and related services,1Y
502,31-12-2020,Recreation and sport,Cultural and related services,1Y
503,31-12-2020,Open spaces,Cultural and related services,1Y
504,31-12-2020,Tourism,Cultural and related services,1Y
505,31-12-2020,Library service,Cultural and related services,1Y
510,31-12-2020,"Cemetery, cremation and mortuary services",Environmental and regulatory services,1Y
519,31-12-2020,Regulatory services: Trading standards,Environmental and regulatory services,1Y
520,31-12-2020,Regulatory services: Water safety,Environmental and regulatory services,1Y
521,31-12-2020,Regulatory services: Food safety,Environmental and regulatory services,1Y
522,31-12-2020,Regulatory services: Environmental protection; noise and nuisance,Environmental and regulatory services,1Y
523,31-12-2020,Regulatory services: Housing standards,Environmental and regulatory services,1Y
524,31-12-2020,Regulatory services: Health and safety,Environmental and regulatory services,1Y
525,31-12-2020,Regulatory services: Port health (excluding levies),Environmental and regulatory services,1Y
526,31-12-2020,Regulatory services: Port health levies,Environmental and regulatory services,1Y
527,31-12-2020,Regulatory services: Pest control,Environmental and regulatory services,1Y
528,31-12-2020,Regulatory services: Public conveniences,Environmental and regulatory services,1Y
529,31-12-2020,Regulatory services: Animal and public health; infectious disease,Environmental and regulatory services,1Y
530,31-12-2020,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,Environmental and regulatory services,1Y
531,31-12-2020,Community safety (Crime reduction),Environmental and regulatory services,1Y
532,31-12-2020,Community safety (Safety services),Environmental and regulatory services,1Y
533,31-12-2020,Community safety (CCTV),Environmental and regulatory services,1Y
541,31-12-2020,Defences against flooding,Environmental and regulatory services,1Y
543,31-12-2020,Land drainage and related work (excluding levy / Special levies),Environmental and regulatory services,1Y
544,31-12-2020,Land drainage and related work - Levy / Special levies,Environmental and regulatory services,1Y
547,31-12-2020,Coast protection,Environmental and regulatory services,1Y
550,31-12-2020,Agriculture and fisheries services,Environmental and regulatory services,1Y
570,31-12-2020,Street cleansing (not chargeable to Highways),Environmental and regulatory services,1Y
581,31-12-2020,Waste collection,Environmental and regulatory services,1Y
582,31-12-2020,Waste disposal,Environmental and regulatory services,1Y
583,31-12-2020,Trade waste,Environmental and regulatory services,1Y
584,31-12-2020,Recycling,Environmental and regulatory services,1Y
585,31-12-2020,Waste minimisation,Environmental and regulatory services,1Y
586,31-12-2020,Climate change costs,Environmental and regulatory services,1Y
591,31-12-2020,Building control,Planning and development services,1Y
592,31-12-2020,Development control,Planning and development services,1Y
593,31-12-2020,Planning policy,Planning and development services,1Y
594,31-12-2020,Environmental initiatives,Planning and development services,1Y
595,31-12-2020,Economic development,Planning and development services,1Y
596,31-12-2020,Community development,Planning and development services,1Y
597,31-12-2020,Economic research,Planning and development services,1Y
598,31-12-2020,Business Support,Planning and development services,1Y
601,31-12-2020,Total police services,Planning and development services,1Y
602,31-12-2020,Total fire and rescue services,Planning and development services,1Y
110,31-12-2019,Early years,Education services,1Y
120,31-12-2019,Primary schools,Education services,1Y
130,31-12-2019,Secondary schools,Education services,1Y
140,31-12-2019,Special schools and alternative provision,Education services,1Y
145,31-12-2019,Post-16 provision,Education services,1Y
165,31-12-2019,Other education and community budget,Education services,1Y
210,31-12-2019,"Transport planning, policy and strategy",Highways and transport services,1Y
230,31-12-2019,Structural maintenance,Highways and transport services,1Y
247,31-12-2019,"Environmental, safety and routine maintenance",Highways and transport services,1Y
248,31-12-2019,Winter service,Highways and transport services,1Y
249,31-12-2019,Street lighting (including energy costs),Highways and transport services,1Y
251,31-12-2019,Traffic management and road safety: congestion charging,Highways and transport services,1Y
252,31-12-2019,Traffic management and road safety: traffic management – bus lane enforcement,Highways and transport services,1Y
254,31-12-2019,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),Highways and transport services,1Y
258,31-12-2019,Traffic management and road safety: other,Highways and transport services,1Y
260,31-12-2019,Parking services,Highways and transport services,1Y
271,31-12-2019,Public transport: statutory concessionary fares,Highways and transport services,1Y
272,31-12-2019,Public transport: discretionary concessionary fares,Highways and transport services,1Y
275,31-12-2019,Public transport: support to operators,Highways and transport services,1Y
276,31-12-2019,Public transport: co-ordination,Highways and transport services,1Y
280,31-12-2019,"Airports, harbours and toll facilities",Highways and transport services,1Y
310,31-12-2019,Sure start children's centres/flying start and early years,Children's social care,1Y
313,31-12-2019,Children looked after,Children's social care,1Y
315,31-12-2019,Other children and family services,Children's social care,1Y
322,31-12-2019,Family support services,Children's social care,1Y
323,31-12-2019,Youth justice,Children's social care,1Y
325,31-12-2019,Safeguarding children and young people’s services,Children's social care,1Y
326,31-12-2019,Asylum seekers,Children's social care,1Y
327,31-12-2019,Services for young people,Children's social care,1Y
332,31-12-2019,Physical support - adults (18–64),Adult social care,1Y
333,31-12-2019,Physical support - older people (65+),Adult social care,1Y
334,31-12-2019,Sensory support - adults (18–64),Adult social care,1Y
335,31-12-2019,Sensory support - older people (65+),Adult social care,1Y
336,31-12-2019,Support with memory and cognition - adults (18–64),Adult social care,1Y
337,31-12-2019,Support with memory and cognition - older people (65+),Adult social care,1Y
340,31-12-2019,Learning disability support - adults (18–64),Adult social care,1Y
341,31-12-2019,Learning disability support - older people (65+),Adult social care,1Y
344,31-12-2019,Mental health support - adults (18–64),Adult social care,1Y
345,31-12-2019,Mental health support - older people (65+),Adult social care,1Y
348,31-12-2019,Social support: Substance misuse support,Adult social care,1Y
349,31-12-2019,Social support: Asylum seeker support,Adult social care,1Y
350,31-12-2019,Social support: Support for carer,Adult social care,1Y
351,31-12-2019,Social support: Social Isolation,Adult social care,1Y
353,31-12-2019,Assistive equipment and technology,Adult social care,1Y
354,31-12-2019,Social care activities,Adult social care,1Y
355,31-12-2019,Information and early intervention,Adult social care,1Y
356,31-12-2019,Commissioning and service delivery,Adult social care,1Y
361,31-12-2019,Sexual health services - STI testing and treatment (prescribed functions),Public health,1Y
362,31-12-2019,Sexual health services - Contraception (prescribed functions),Public health,1Y
363,31-12-2019,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",Public health,1Y
365,31-12-2019,NHS health check programme  (prescribed functions),Public health,1Y
366,31-12-2019,Health protection - Local authority role in health protection  (prescribed functions),Public health,1Y
368,31-12-2019,National child measurement programme (prescribed functions),Public health,1Y
370,31-12-2019,Public health advice to NHS commissioners (prescribed functions),Public health,1Y
371,31-12-2019,Obesity - adults,Public health,1Y
372,31-12-2019,Obesity - children,Public health,1Y
373,31-12-2019,Physical activity - adults,Public health,1Y
374,31-12-2019,Physical activity - children,Public health,1Y
376,31-12-2019,Substance misuse - Treatment for drug misuse in adults,Public health,1Y
377,31-12-2019,Substance misuse - Treatment for alcohol misuse in adults,Public health,1Y
378,31-12-2019,Substance misuse - Preventing and reducing harm from drug misuse in adults,Public health,1Y
379,31-12-2019,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,Public health,1Y
380,31-12-2019,Substance misuse - Specialist drug and alcohol misuse services for children and young people,Public health,1Y
381,31-12-2019,Smoking and tobacco - Stop smoking services and interventions,Public health,1Y
382,31-12-2019,Smoking and tobacco - Wider tobacco control,Public health,1Y
383,31-12-2019,Children 5–19 public health programmes,Public health,1Y
384,31-12-2019,Mandated 0-5 children’s services (prescribed functions),Public health,1Y
385,31-12-2019,All Other 0-5 children’s services (non-prescribed functions),Public health,1Y
386,31-12-2019,Health at work,Public health,1Y
387,31-12-2019,Public mental health,Public health,1Y
389,31-12-2019,Miscellaneous public health services - other,Public health,1Y
409,31-12-2019,"Housing strategy, advice, advances, enabling, renewals and licensing",Housing services (gfra only),1Y
440,31-12-2019,Homelessness,Housing services (gfra only),1Y
456,31-12-2019,Housing benefits: rent allowances and rent rebates - discretionary payments,Housing services (gfra only),1Y
457,31-12-2019,Housing benefits administration,Housing services (gfra only),1Y
460,31-12-2019,Other council property - travellers' sites and non-HRA council property,Housing services (gfra only),1Y
475,31-12-2019,Housing welfare: Supporting People,Housing services (gfra only),1Y
478,31-12-2019,Other welfare services,Housing services (gfra only),1Y
500,31-12-2019,Archives,Cultural and related services,1Y
501,31-12-2019,Culture and heritage (excluding Archives),Cultural and related services,1Y
502,31-12-2019,Recreation and sport,Cultural and related services,1Y
503,31-12-2019,Open spaces,Cultural and related services,1Y
504,31-12-2019,Tourism,Cultural and related services,1Y
505,31-12-2019,Library service,Cultural and related services,1Y
510,31-12-2019,"Cemetery, cremation and mortuary services",Environmental and regulatory services,1Y
519,31-12-2019,Regulatory services: Trading standards,Environmental and regulatory services,1Y
520,31-12-2019,Regulatory services: Water safety,Environmental and regulatory services,1Y
521,31-12-2019,Regulatory services: Food safety,Environmental and regulatory services,1Y
522,31-12-2019,Regulatory services: Environmental protection; noise and nuisance,Environmental and regulatory services,1Y
523,31-12-2019,Regulatory services: Housing standards,Environmental and regulatory services,1Y
524,31-12-2019,Regulatory services: Health and safety,Environmental and regulatory services,1Y
525,31-12-2019,Regulatory services: Port health (excluding levies),Environmental and regulatory services,1Y
526,31-12-2019,Regulatory services: Port health levies,Environmental and regulatory services,1Y
527,31-12-2019,Regulatory services: Pest control,Environmental and regulatory services,1Y
528,31-12-2019,Regulatory services: Public conveniences,Environmental and regulatory services,1Y
529,31-12-2019,Regulatory services: Animal and public health; infectious disease,Environmental and regulatory services,1Y
530,31-12-2019,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,Environmental and regulatory services,1Y
531,31-12-2019,Community safety (Crime reduction),Environmental and regulatory services,1Y
532,31-12-2019,Community safety (Safety services),Environmental and regulatory services,1Y
533,31-12-2019,Community safety (CCTV),Environmental and regulatory services,1Y
541,31-12-2019,Defences against flooding,Environmental and regulatory services,1Y
543,31-12-2019,Land drainage and related work (excluding levy / Special levies),Environmental and regulatory services,1Y
544,31-12-2019,Land drainage and related work - Levy / Special levies,Environmental and regulatory services,1Y
547,31-12-2019,Coast protection,Environmental and regulatory services,1Y
550,31-12-2019,Agriculture and fisheries services,Environmental and regulatory services,1Y
570,31-12-2019,Street cleansing (not chargeable to Highways),Environmental and regulatory services,1Y
581,31-12-2019,Waste collection,Environmental and regulatory services,1Y
582,31-12-2019,Waste disposal,Environmental and regulatory services,1Y
583,31-12-2019,Trade waste,Environmental and regulatory services,1Y
584,31-12-2019,Recycling,Environmental and regulatory services,1Y
585,31-12-2019,Waste minimisation,Environmental and regulatory services,1Y
586,31-12-2019,Climate change costs,Environmental and regulatory services,1Y
591,31-12-2019,Building control,Planning and development services,1Y
592,31-12-2019,Development control,Planning and development services,1Y
593,31-12-2019,Planning policy,Planning and development services,1Y
594,31-12-2019,Environmental initiatives,Planning and development services,1Y
595,31-12-2019,Economic development,Planning and development services,1Y
596,31-12-2019,Community development,Planning and development services,1Y
597,31-12-2019,Economic research,Planning and development services,1Y
598,31-12-2019,Business Support,Planning and development services,1Y
601,31-12-2019,Total police services,Planning and development services,1Y
602,31-12-2019,Total fire and rescue services,Planning and development services,1Y
110,31-12-2018,Early years,Education services,1Y
120,31-12-2018,Primary schools,Education services,1Y
130,31-12-2018,Secondary schools,Education services,1Y
140,31-12-2018,Special schools and alternative provision,Education services,1Y
145,31-12-2018,Post-16 provision,Education services,1Y
165,31-12-2018,Other education and community budget,Education services,1Y
210,31-12-2018,"Transport planning, policy and strategy",Highways and transport services,1Y
230,31-12-2018,Structural maintenance,Highways and transport services,1Y
247,31-12-2018,"Environmental, safety and routine maintenance",Highways and transport services,1Y
248,31-12-2018,Winter service,Highways and transport services,1Y
249,31-12-2018,Street lighting (including energy costs),Highways and transport services,1Y
251,31-12-2018,Traffic management and road safety: congestion charging,Highways and transport services,1Y
252,31-12-2018,Traffic management and road safety: traffic management – bus lane enforcement,Highways and transport services,1Y
254,31-12-2018,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),Highways and transport services,1Y
258,31-12-2018,Traffic management and road safety: other,Highways and transport services,1Y
260,31-12-2018,Parking services,Highways and transport services,1Y
271,31-12-2018,Public transport: statutory concessionary fares,Highways and transport services,1Y
272,31-12-2018,Public transport: discretionary concessionary fares,Highways and transport services,1Y
275,31-12-2018,Public transport: support to operators,Highways and transport services,1Y
276,31-12-2018,Public transport: co-ordination,Highways and transport services,1Y
280,31-12-2018,"Airports, harbours and toll facilities",Highways and transport services,1Y
310,31-12-2018,Sure start children's centres/flying start and early years,Children's social care,1Y
313,31-12-2018,Children looked after,Children's social care,1Y
315,31-12-2018,Other children and family services,Children's social care,1Y
322,31-12-2018,Family support services,Children's social care,1Y
323,31-12-2018,Youth justice,Children's social care,1Y
325,31-12-2018,Safeguarding children and young people’s services,Children's social care,1Y
326,31-12-2018,Asylum seekers,Children's social care,1Y
327,31-12-2018,Services for young people,Children's social care,1Y
332,31-12-2018,Physical support - adults (18–64),Adult social care,1Y
333,31-12-2018,Physical support - older people (65+),Adult social care,1Y
334,31-12-2018,Sensory support - adults (18–64),Adult social care,1Y
335,31-12-2018,Sensory support - older people (65+),Adult social care,1Y
336,31-12-2018,Support with memory and cognition - adults (18–64),Adult social care,1Y
337,31-12-2018,Support with memory and cognition - older people (65+),Adult social care,1Y
340,31-12-2018,Learning disability support - adults (18–64),Adult social care,1Y
341,31-12-2018,Learning disability support - older people (65+),Adult social care,1Y
344,31-12-2018,Mental health support - adults (18–64),Adult social care,1Y
345,31-12-2018,Mental health support - older people (65+),Adult social care,1Y
348,31-12-2018,Social support: Substance misuse support,Adult social care,1Y
349,31-12-2018,Social support: Asylum seeker support,Adult social care,1Y
350,31-12-2018,Social support: Support for carer,Adult social care,1Y
351,31-12-2018,Social support: Social Isolation,Adult social care,1Y
353,31-12-2018,Assistive equipment and technology,Adult social care,1Y
354,31-12-2018,Social care activities,Adult social care,1Y
355,31-12-2018,Information and early intervention,Adult social care,1Y
356,31-12-2018,Commissioning and service delivery,Adult social care,1Y
361,31-12-2018,Sexual health services - STI testing and treatment (prescribed functions),Public health,1Y
362,31-12-2018,Sexual health services - Contraception (prescribed functions),Public health,1Y
363,31-12-2018,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",Public health,1Y
365,31-12-2018,NHS health check programme  (prescribed functions),Public health,1Y
366,31-12-2018,Health protection - Local authority role in health protection  (prescribed functions),Public health,1Y
368,31-12-2018,National child measurement programme (prescribed functions),Public health,1Y
370,31-12-2018,Public health advice to NHS commissioners (prescribed functions),Public health,1Y
371,31-12-2018,Obesity - adults,Public health,1Y
372,31-12-2018,Obesity - children,Public health,1Y
373,31-12-2018,Physical activity - adults,Public health,1Y
374,31-12-2018,Physical activity - children,Public health,1Y
376,31-12-2018,Substance misuse - Treatment for drug misuse in adults,Public health,1Y
377,31-12-2018,Substance misuse - Treatment for alcohol misuse in adults,Public health,1Y
378,31-12-2018,Substance misuse - Preventing and reducing harm from drug misuse in adults,Public health,1Y
