indicator_id,indicator_name,definition_short,final_year,profile_id,profile_name
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2017,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2001,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2015,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2003,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2011,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2014,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2008,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2007,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2008,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2002,26,health-profiles
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2012,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2011,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2014,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2013,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2009,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2017,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2016,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2015,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2018,79,drugsandmentalhealth
113,Smoking attributable mortality (old method),Smoking attributable mortality (old method),2010,79,drugsandmentalhealth
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2017,58,learning-disabilities
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2019,58,learning-disabilities
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2021,106,crisis-care
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2018,106,crisis-care
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2020,106,crisis-care
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2019,106,crisis-care
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2018,58,learning-disabilities
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2020,58,learning-disabilities
200,Learning disability: QOF prevalence (all ages),Learning disability: QOF prevalence (all ages),2017,106,crisis-care
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2022,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2013,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2018,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2015,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2013,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2017,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2021,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2014,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2020,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2015,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2013,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2014,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2016,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2015,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2016,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2022,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2020,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2019,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2013,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2014,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2022,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2020,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2020,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2016,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2019,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2021,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2017,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2018,65,nhs-health-check
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2021,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2015,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2018,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2019,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2019,84,dementia
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2021,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2018,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2017,146,healthy-ageing
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2017,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2014,99,physical-activity
212,Stroke: QOF prevalence (all ages),Stroke: QOF prevalence (all ages),2016,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2014,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2020,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2022,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2016,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2017,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2019,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2020,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2015,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2017,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2015,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2014,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2013,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2017,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2014,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2020,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2022,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2020,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2016,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2018,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2014,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2019,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2021,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2019,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2016,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2022,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2017,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2016,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2013,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2015,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2015,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2018,65,nhs-health-check
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2021,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2018,146,healthy-ageing
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2018,84,dementia
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2021,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2019,99,physical-activity
219,Hypertension: QOF prevalence (all ages),Hypertension: QOF prevalence (all ages),2021,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2013,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2019,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2014,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2016,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2011,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2021,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2019,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2010,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2021,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2013,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2017,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2022,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2020,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2020,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2021,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2018,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2013,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2019,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2010,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2015,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2018,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2016,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2020,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2014,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2015,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2011,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2012,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2017,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2018,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2015,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2012,146,healthy-ageing
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2014,65,nhs-health-check
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2022,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2016,84,dementia
241,Diabetes: QOF prevalence (17+ yrs),Diabetes: QOF prevalence (17+ yrs),2017,65,nhs-health-check
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2018,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2017,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2020,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2014,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2020,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2012,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2019,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2016,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2018,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2021,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2018,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2012,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2019,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2021,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2017,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2014,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2019,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2012,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2015,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2020,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2021,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2013,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2016,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2015,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2015,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2014,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2013,95,end-of-life
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2016,106,crisis-care
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2017,84,dementia
247,Dementia: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),2013,106,crisis-care
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2019,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2017,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2015,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2013,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2021,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2018,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2020,65,nhs-health-check
258,CKD: QOF prevalence (18+ yrs),CKD: QOF prevalence (18+ yrs),2016,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2016,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2022,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2021,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2017,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2014,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2021,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2022,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2010,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2014,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2016,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2015,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2020,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2020,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2013,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2022,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2015,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2018,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2021,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2016,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2020,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2015,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2014,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2019,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2015,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2020,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2018,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2012,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2012,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2017,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2017,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2018,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2019,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2013,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2017,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2014,84,dementia
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2019,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2018,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2011,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2013,65,nhs-health-check
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2013,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2011,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2021,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2019,146,healthy-ageing
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2010,99,physical-activity
273,CHD: QOF prevalence (all ages),CHD: QOF prevalence (all ages),2016,65,nhs-health-check
342,% reporting a long-term back problem,% reporting a long-term back problem,2012,76,msk
342,% reporting a long-term back problem,% reporting a long-term back problem,2014,76,msk
342,% reporting a long-term back problem,% reporting a long-term back problem,2015,76,msk
342,% reporting a long-term back problem,% reporting a long-term back problem,2013,76,msk
342,% reporting a long-term back problem,% reporting a long-term back problem,2016,76,msk
342,% reporting a long-term back problem,% reporting a long-term back problem,2017,76,msk
358,Long-term mental health problems (GP Patient Survey): % of respondents,Long-term mental health problems (GP Patient Survey): % of respondents,2018,98,mentalhealth_jsna
358,Long-term mental health problems (GP Patient Survey): % of respondents,Long-term mental health problems (GP Patient Survey): % of respondents,2018,106,crisis-care
358,Long-term mental health problems (GP Patient Survey): % of respondents,Long-term mental health problems (GP Patient Survey): % of respondents,2019,106,crisis-care
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2016,76,msk
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2012,76,msk
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2017,76,msk
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2014,76,msk
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2015,76,msk
384,% reporting arthritis or long-term joint problem,% reporting arthritis or long-term joint problem,2013,76,msk
811,Children in care immunisations,Children in care immunisations,2014,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2017,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2020,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2015,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2013,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2018,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2016,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2021,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2019,105,child-health-profiles
811,Children in care immunisations,Children in care immunisations,2012,105,child-health-profiles
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2012,106,crisis-care
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2014,91,suicide
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2011,102,perinatal-mental-health
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2013,99,physical-activity
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2019,99,physical-activity
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2016,91,suicide
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2016,98,mentalhealth_jsna
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2017,102,perinatal-mental-health
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2014,98,mentalhealth_jsna
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2015,84,dementia
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2018,91,suicide
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2019,98,mentalhealth_jsna
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2015,106,crisis-care
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2020,98,mentalhealth_jsna
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2021,98,mentalhealth_jsna
848,Depression: QOF prevalence (18+ yrs),Depression: QOF prevalence (18+ yrs),2016,84,dementia
