code,final_year,description,profile
210,2020,"Transport planning, policy and strategy",HIGHWAYS AND TRANSPORT SERVICES
230,2020,Structural maintenance,HIGHWAYS AND TRANSPORT SERVICES
247,2020,"Environmental, safety and routine maintenance",HIGHWAYS AND TRANSPORT SERVICES
248,2020,Winter service,HIGHWAYS AND TRANSPORT SERVICES
249,2020,Street lighting (including energy costs),HIGHWAYS AND TRANSPORT SERVICES
251,2020,Traffic management and road safety: congestion charging,HIGHWAYS AND TRANSPORT SERVICES
252,2020,Traffic management and road safety: traffic management – bus lane enforcement,HIGHWAYS AND TRANSPORT SERVICES
254,2020,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),HIGHWAYS AND TRANSPORT SERVICES
258,2020,Traffic management and road safety: other,HIGHWAYS AND TRANSPORT SERVICES
260,2020,Parking services,HIGHWAYS AND TRANSPORT SERVICES
271,2020,Public transport: statutory concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
272,2020,Public transport: discretionary concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
275,2020,Public transport: support to operators,HIGHWAYS AND TRANSPORT SERVICES
276,2020,Public transport: co-ordination,HIGHWAYS AND TRANSPORT SERVICES
280,2020,"Airports, harbours and toll facilities",HIGHWAYS AND TRANSPORT SERVICES
290,2020,TOTAL HIGHWAYS AND TRANSPORT SERVICES (total of lines 210 to 280),HIGHWAYS AND TRANSPORT SERVICES
310,2020,Sure start children's centres and early years,CHILDREN'S SOCIAL CARE
313,2020,Children looked after,CHILDREN'S SOCIAL CARE
315,2020,Other children and family services,CHILDREN'S SOCIAL CARE
322,2020,Family support services,CHILDREN'S SOCIAL CARE
323,2020,Youth justice,CHILDREN'S SOCIAL CARE
325,2020,Safeguarding children and young people’s services,CHILDREN'S SOCIAL CARE
326,2020,Asylum seekers,CHILDREN'S SOCIAL CARE
327,2020,Services for young people,CHILDREN'S SOCIAL CARE
330,2020,TOTAL CHILDREN'S SOCIAL CARE (total of lines 310 to 327),CHILDREN'S SOCIAL CARE
332,2020,Physical support - adults (18–64),ADULT SOCIAL CARE
333,2020,Physical support - older people (65+),ADULT SOCIAL CARE
334,2020,Sensory support - adults (18–64),ADULT SOCIAL CARE
335,2020,Sensory support - older people (65+),ADULT SOCIAL CARE
336,2020,Support with memory and cognition - adults (18–64),ADULT SOCIAL CARE
337,2020,Support with memory and cognition - older people (65+),ADULT SOCIAL CARE
340,2020,Learning disability support - adults (18–64),ADULT SOCIAL CARE
341,2020,Learning disability support - older people (65+),ADULT SOCIAL CARE
344,2020,Mental health support - adults (18–64),ADULT SOCIAL CARE
345,2020,Mental health support - older people (65+),ADULT SOCIAL CARE
348,2020,Social support: Substance misuse support,ADULT SOCIAL CARE
349,2020,Social support: Asylum seeker support,ADULT SOCIAL CARE
350,2020,Social support: Support for carer,ADULT SOCIAL CARE
351,2020,Social support: Social Isolation,ADULT SOCIAL CARE
353,2020,Assistive equipment and technology,ADULT SOCIAL CARE
354,2020,Social care activities,ADULT SOCIAL CARE
355,2020,Information and early intervention,ADULT SOCIAL CARE
356,2020,Commissioning and service delivery,ADULT SOCIAL CARE
360,2020,TOTAL ADULT SOCIAL CARE (total of lines 332 to 356) (b),ADULT SOCIAL CARE
361,2020,Sexual health services - STI testing and treatment (prescribed functions),PUBLIC HEALTH
362,2020,Sexual health services - Contraception (prescribed functions),PUBLIC HEALTH
363,2020,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",PUBLIC HEALTH
365,2020,NHS health check programme  (prescribed functions),PUBLIC HEALTH
366,2020,Health protection - Local authority role in health protection  (prescribed functions),PUBLIC HEALTH
368,2020,National child measurement programme (prescribed functions),PUBLIC HEALTH
370,2020,Public health advice to NHS commissioners (prescribed functions),PUBLIC HEALTH
371,2020,Obesity - adults,PUBLIC HEALTH
372,2020,Obesity - children,PUBLIC HEALTH
373,2020,Physical activity - adults,PUBLIC HEALTH
374,2020,Physical activity - children,PUBLIC HEALTH
376,2020,Substance misuse - Treatment for drug misuse in adults,PUBLIC HEALTH
377,2020,Substance misuse - Treatment for alcohol misuse in adults,PUBLIC HEALTH
378,2020,Substance misuse - Preventing and reducing harm from drug misuse in adults,PUBLIC HEALTH
379,2020,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,PUBLIC HEALTH
380,2020,Substance misuse - Specialist drug and alcohol misuse services for children and young people,PUBLIC HEALTH
381,2020,Smoking and tobacco - Stop smoking services and interventions,PUBLIC HEALTH
382,2020,Smoking and tobacco - Wider tobacco control,PUBLIC HEALTH
383,2020,Children 5–19 public health programmes,PUBLIC HEALTH
384,2020,Mandated 0-5 children’s services (prescribed functions),PUBLIC HEALTH
385,2020,All Other 0-5 children’s services (non-prescribed functions),PUBLIC HEALTH
386,2020,Health at work,PUBLIC HEALTH
387,2020,Public mental health,PUBLIC HEALTH
389,2020,Miscellaneous public health services - other,PUBLIC HEALTH
390,2020,TOTAL PUBLIC HEALTH (total of lines 361 to 389),PUBLIC HEALTH
409,2020,"Housing strategy, advice, advances, enabling, renewals and licensing",HOUSING SERVICES (GFRA only)
440,2020,Homelessness,HOUSING SERVICES (GFRA only)
456,2020,Housing benefits: rent allowances and rent rebates - discretionary payments,HOUSING SERVICES (GFRA only)
457,2020,Housing benefits administration,HOUSING SERVICES (GFRA only)
460,2020,Other council property - travellers' sites and non-HRA council property,HOUSING SERVICES (GFRA only)
475,2020,Housing welfare: Supporting People,HOUSING SERVICES (GFRA only)
478,2020,Other welfare services,HOUSING SERVICES (GFRA only)
490,2020,TOTAL HOUSING SERVICES (GFRA only)  (total of lines 409 to 478),HOUSING SERVICES (GFRA only)
500,2020,Archives,CULTURAL AND RELATED SERVICES
501,2020,Culture and heritage (excluding Archives),CULTURAL AND RELATED SERVICES
502,2020,Recreation and sport,CULTURAL AND RELATED SERVICES
503,2020,Open spaces,CULTURAL AND RELATED SERVICES
504,2020,Tourism,CULTURAL AND RELATED SERVICES
505,2020,Library service,CULTURAL AND RELATED SERVICES
509,2020,TOTAL CULTURAL AND RELATED SERVICES (total of lines 500 to 505),CULTURAL AND RELATED SERVICES
510,2020,"Cemetery, cremation and mortuary services",ENVIRONMENTAL AND REGULATORY SERVICES
519,2020,Regulatory services: Trading standards,ENVIRONMENTAL AND REGULATORY SERVICES
520,2020,Regulatory services: Water safety,ENVIRONMENTAL AND REGULATORY SERVICES
521,2020,Regulatory services: Food safety,ENVIRONMENTAL AND REGULATORY SERVICES
522,2020,Regulatory services: Environmental protection; noise and nuisance,ENVIRONMENTAL AND REGULATORY SERVICES
523,2020,Regulatory services: Housing standards,ENVIRONMENTAL AND REGULATORY SERVICES
524,2020,Regulatory services: Health and safety,ENVIRONMENTAL AND REGULATORY SERVICES
525,2020,Regulatory services: Port health (excluding levies),ENVIRONMENTAL AND REGULATORY SERVICES
526,2020,Regulatory services: Port health levies,ENVIRONMENTAL AND REGULATORY SERVICES
527,2020,Regulatory services: Pest control,ENVIRONMENTAL AND REGULATORY SERVICES
528,2020,Regulatory services: Public conveniences,ENVIRONMENTAL AND REGULATORY SERVICES
529,2020,Regulatory services: Animal and public health; infectious disease,ENVIRONMENTAL AND REGULATORY SERVICES
530,2020,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,ENVIRONMENTAL AND REGULATORY SERVICES
531,2020,Community safety (Crime reduction),ENVIRONMENTAL AND REGULATORY SERVICES
532,2020,Community safety (Safety services),ENVIRONMENTAL AND REGULATORY SERVICES
533,2020,Community safety (CCTV),ENVIRONMENTAL AND REGULATORY SERVICES
541,2020,Defences against flooding,ENVIRONMENTAL AND REGULATORY SERVICES
543,2020,Land drainage and related work (excluding levy / Special levies),ENVIRONMENTAL AND REGULATORY SERVICES
544,2020,Land drainage and related work - Levy / Special levies,ENVIRONMENTAL AND REGULATORY SERVICES
547,2020,Coast protection,ENVIRONMENTAL AND REGULATORY SERVICES
550,2020,Agriculture and fisheries services,ENVIRONMENTAL AND REGULATORY SERVICES
570,2020,Street cleansing (not chargeable to Highways),ENVIRONMENTAL AND REGULATORY SERVICES
581,2020,Waste collection,ENVIRONMENTAL AND REGULATORY SERVICES
582,2020,Waste disposal,ENVIRONMENTAL AND REGULATORY SERVICES
583,2020,Trade waste,ENVIRONMENTAL AND REGULATORY SERVICES
584,2020,Recycling,ENVIRONMENTAL AND REGULATORY SERVICES
585,2020,Waste minimisation,ENVIRONMENTAL AND REGULATORY SERVICES
586,2020,Climate change costs,ENVIRONMENTAL AND REGULATORY SERVICES
590,2020,TOTAL ENVIRONMENTAL AND REGULATORY SERVICES (total of lines 510 to 586),ENVIRONMENTAL AND REGULATORY SERVICES
591,2020,Building control,PLANNING AND DEVELOPMENT SERVICES
592,2020,Development control,PLANNING AND DEVELOPMENT SERVICES
593,2020,Planning policy,PLANNING AND DEVELOPMENT SERVICES
594,2020,Environmental initiatives,PLANNING AND DEVELOPMENT SERVICES
595,2020,Economic development,PLANNING AND DEVELOPMENT SERVICES
596,2020,Community development,PLANNING AND DEVELOPMENT SERVICES
597,2020,Economic research,PLANNING AND DEVELOPMENT SERVICES
598,2020,Business Support,PLANNING AND DEVELOPMENT SERVICES
599,2020,TOTAL PLANNING AND DEVELOPMENT SERVICES (total of lines 591 to 598),PLANNING AND DEVELOPMENT SERVICES
601,2020,TOTAL POLICE SERVICES,PLANNING AND DEVELOPMENT SERVICES
602,2020,TOTAL FIRE AND RESCUE SERVICES,PLANNING AND DEVELOPMENT SERVICES
604,2020,Coroners' court services,CENTRAL SERVICES
605,2020,Other court services,CENTRAL SERVICES
610,2020,Corporate and democratic core,CENTRAL SERVICES
623,2020,Local tax collection: council tax discounts - locally funded,CENTRAL SERVICES
625,2020,Local tax collection: council tax support administration,CENTRAL SERVICES
628,2020,Local tax collection: other,CENTRAL SERVICES
650,2020,Emergency planning,CENTRAL SERVICES
675,2020,Central services to the public: other,CENTRAL SERVICES
681,2020,Non-distributed costs - retirement benefits,CENTRAL SERVICES
682,2020,Non-distributed costs - costs of unused shares of IT facilities and other assets,CENTRAL SERVICES
684,2020,Non-distributed costs - revenue expenditure on surplus assets,CENTRAL SERVICES
690,2020,TOTAL CENTRAL SERVICES (total of lines 604 to 684),CENTRAL SERVICES
698,2020,TOTAL OTHER SERVICES,CENTRAL SERVICES
799,2020,"TOTAL SERVICE EXPENDITURE (total of lines 190, 290, 330, 360, 390, 490, 509, 590, 599, 601, 602, 690 and 698)",CENTRAL SERVICES
811,2020,Housing benefits: rent allowances - mandatory payments,CENTRAL SERVICES
812,2020,Housing benefits: non-HRA rent rebates - mandatory payments,CENTRAL SERVICES
813,2020,Housing benefits: rent rebates to HRA tenants - mandatory payments,CENTRAL SERVICES
814,2020,Housing benefits: subsidy limitation transfers from HRA,CENTRAL SERVICES
818,2020,Contribution to the HRA re items shared by the whole community,CENTRAL SERVICES
821,2020,Parish Precepts,Precepts and levies
822,2020,Integrated Transport Authority levy,Precepts and levies
824,2020,Waste Disposal Authority levy,Precepts and levies
827,2020,London Pensions Fund Authority levy,Precepts and levies
828,2020,Other levies,Precepts and levies
831,2020,External Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
832,2020,Internal Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
841,2020,Capital items accounted for in External Trading Accounts,Precepts and levies
842,2020,Capital items accounted for in Internal Trading Accounts,Precepts and levies
847,2020,Appropriations to(+) / from(-) Accumulated Absences Account,Precepts and levies
848,2020,Adjustments to net current expenditure,Precepts and levies
849,2020,NET CURRENT EXPENDITURE (total of lines 799 to 848),Precepts and levies
110,2019,Early years,EDUCATION SERVICES
120,2019,Primary schools,EDUCATION SERVICES
130,2019,Secondary schools,EDUCATION SERVICES
140,2019,Special schools and alternative provision,EDUCATION SERVICES
145,2019,Post-16 provision,EDUCATION SERVICES
165,2019,Other education and community budget,EDUCATION SERVICES
190,2019,TOTAL EDUCATION SERVICES (total of lines 110 to 165),EDUCATION SERVICES
210,2019,"Transport planning, policy and strategy",HIGHWAYS AND TRANSPORT SERVICES
230,2019,Structural maintenance,HIGHWAYS AND TRANSPORT SERVICES
247,2019,"Environmental, safety and routine maintenance",HIGHWAYS AND TRANSPORT SERVICES
248,2019,Winter service,HIGHWAYS AND TRANSPORT SERVICES
249,2019,Street lighting (including energy costs),HIGHWAYS AND TRANSPORT SERVICES
251,2019,Traffic management and road safety: congestion charging,HIGHWAYS AND TRANSPORT SERVICES
252,2019,Traffic management and road safety: traffic management – bus lane enforcement,HIGHWAYS AND TRANSPORT SERVICES
254,2019,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),HIGHWAYS AND TRANSPORT SERVICES
258,2019,Traffic management and road safety: other,HIGHWAYS AND TRANSPORT SERVICES
260,2019,Parking services,HIGHWAYS AND TRANSPORT SERVICES
271,2019,Public transport: statutory concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
272,2019,Public transport: discretionary concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
275,2019,Public transport: support to operators,HIGHWAYS AND TRANSPORT SERVICES
276,2019,Public transport: co-ordination,HIGHWAYS AND TRANSPORT SERVICES
280,2019,"Airports, harbours and toll facilities",HIGHWAYS AND TRANSPORT SERVICES
290,2019,TOTAL HIGHWAYS AND TRANSPORT SERVICES (total of lines 210 to 280),HIGHWAYS AND TRANSPORT SERVICES
310,2019,Sure start children's centres/flying start and early years,CHILDREN'S SOCIAL CARE
313,2019,Children looked after,CHILDREN'S SOCIAL CARE
315,2019,Other children and family services,CHILDREN'S SOCIAL CARE
322,2019,Family support services,CHILDREN'S SOCIAL CARE
323,2019,Youth justice,CHILDREN'S SOCIAL CARE
325,2019,Safeguarding children and young people’s services,CHILDREN'S SOCIAL CARE
326,2019,Asylum seekers,CHILDREN'S SOCIAL CARE
327,2019,Services for young people,CHILDREN'S SOCIAL CARE
330,2019,TOTAL CHILDREN'S SOCIAL CARE (total of lines 310 to 327),CHILDREN'S SOCIAL CARE
332,2019,Physical support - adults (18–64),ADULT SOCIAL CARE
333,2019,Physical support - older people (65+),ADULT SOCIAL CARE
334,2019,Sensory support - adults (18–64),ADULT SOCIAL CARE
335,2019,Sensory support - older people (65+),ADULT SOCIAL CARE
336,2019,Support with memory and cognition - adults (18–64),ADULT SOCIAL CARE
337,2019,Support with memory and cognition - older people (65+),ADULT SOCIAL CARE
340,2019,Learning disability support - adults (18–64),ADULT SOCIAL CARE
341,2019,Learning disability support - older people (65+),ADULT SOCIAL CARE
344,2019,Mental health support - adults (18–64),ADULT SOCIAL CARE
345,2019,Mental health support - older people (65+),ADULT SOCIAL CARE
348,2019,Social support: Substance misuse support,ADULT SOCIAL CARE
349,2019,Social support: Asylum seeker support,ADULT SOCIAL CARE
350,2019,Social support: Support for carer,ADULT SOCIAL CARE
351,2019,Social support: Social Isolation,ADULT SOCIAL CARE
353,2019,Assistive equipment and technology,ADULT SOCIAL CARE
354,2019,Social care activities,ADULT SOCIAL CARE
355,2019,Information and early intervention,ADULT SOCIAL CARE
356,2019,Commissioning and service delivery,ADULT SOCIAL CARE
360,2019,TOTAL ADULT SOCIAL CARE (total of lines 332 to 356) **,ADULT SOCIAL CARE
361,2019,Sexual health services - STI testing and treatment (prescribed functions),PUBLIC HEALTH
362,2019,Sexual health services - Contraception (prescribed functions),PUBLIC HEALTH
363,2019,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",PUBLIC HEALTH
365,2019,NHS health check programme  (prescribed functions),PUBLIC HEALTH
366,2019,Health protection - Local authority role in health protection  (prescribed functions),PUBLIC HEALTH
